Time,Dominant Emotion,All Emotions
18:18:38,angry,"{'angry': np.float32(51.459843), 'disgust': np.float32(7.915843e-05), 'fear': np.float32(3.0291185), 'happy': np.float32(0.053718835), 'sad': np.float32(23.908699), 'surprise': np.float32(0.076715864), 'neutral': np.float32(21.471823)}"
18:18:39,neutral,"{'angry': np.float32(0.23779517), 'disgust': np.float32(2.2314087e-08), 'fear': np.float32(2.8996053), 'happy': np.float32(0.0017319086), 'sad': np.float32(1.619528), 'surprise': np.float32(4.4741788e-05), 'neutral': np.float32(95.241295)}"
18:18:39,neutral,"{'angry': np.float32(0.16797397), 'disgust': np.float32(2.5797842e-08), 'fear': np.float32(2.5168645), 'happy': np.float32(0.00081194367), 'sad': np.float32(2.1026728), 'surprise': np.float32(1.0102249e-05), 'neutral': np.float32(95.21167)}"
18:18:39,neutral,"{'angry': np.float32(0.99808204), 'disgust': np.float32(2.0364984e-08), 'fear': np.float32(10.194367), 'happy': np.float32(0.00390489), 'sad': np.float32(2.4685938), 'surprise': np.float32(5.4985617e-06), 'neutral': np.float32(86.335045)}"
18:18:39,neutral,"{'angry': np.float32(0.55323875), 'disgust': np.float32(9.444805e-11), 'fear': np.float32(1.7917091), 'happy': np.float32(0.0016369952), 'sad': np.float32(0.8313717), 'surprise': np.float32(2.8399343e-05), 'neutral': np.float32(96.82202)}"
18:18:40,neutral,"{'angry': np.float32(0.51515144), 'disgust': np.float32(5.46711e-10), 'fear': np.float32(0.6439229), 'happy': np.float32(0.0015706562), 'sad': np.float32(1.3518518), 'surprise': np.float32(9.9442295e-05), 'neutral': np.float32(97.48741)}"
18:18:40,neutral,"{'angry': np.float32(0.16367264), 'disgust': np.float32(2.850698e-09), 'fear': np.float32(1.0079904), 'happy': np.float32(0.0004775531), 'sad': np.float32(2.1235862), 'surprise': np.float32(0.0003094907), 'neutral': np.float32(96.70396)}"
18:18:40,neutral,"{'angry': np.float32(0.112890415), 'disgust': np.float32(5.9088294e-09), 'fear': np.float32(1.2187794), 'happy': np.float32(0.00017279919), 'sad': np.float32(1.9747778), 'surprise': np.float32(9.725435e-05), 'neutral': np.float32(96.693275)}"
18:18:40,neutral,"{'angry': np.float32(0.11499473), 'disgust': np.float32(2.1990957e-08), 'fear': np.float32(0.87372607), 'happy': np.float32(0.0001282841), 'sad': np.float32(3.0705016), 'surprise': np.float32(9.065304e-05), 'neutral': np.float32(95.94056)}"
18:18:41,angry,"{'angry': np.float32(69.61786), 'disgust': np.float32(1.0269508e-08), 'fear': np.float32(0.2571612), 'happy': np.float32(0.04518292), 'sad': np.float32(1.3620528), 'surprise': np.float32(0.000117083444), 'neutral': np.float32(28.717632)}"
18:18:41,neutral,"{'angry': np.float32(0.9146747), 'disgust': np.float32(3.1971425e-07), 'fear': np.float32(3.511352), 'happy': np.float32(0.0050531346), 'sad': np.float32(2.555376), 'surprise': np.float32(0.34060487), 'neutral': np.float32(92.672935)}"
18:18:41,neutral,"{'angry': np.float32(0.0923303), 'disgust': np.float32(1.3369e-09), 'fear': np.float32(0.13223405), 'happy': np.float32(0.0002216912), 'sad': np.float32(0.3636176), 'surprise': np.float32(0.006488975), 'neutral': np.float32(99.40511)}"
18:18:41,neutral,"{'angry': np.float32(0.19159718), 'disgust': np.float32(4.6478714e-09), 'fear': np.float32(0.36716682), 'happy': np.float32(0.00026657226), 'sad': np.float32(1.6450784), 'surprise': np.float32(0.032444213), 'neutral': np.float32(97.76345)}"
18:18:41,neutral,"{'angry': np.float32(0.2601641), 'disgust': np.float32(4.440139e-08), 'fear': np.float32(0.97063875), 'happy': np.float32(0.00095874), 'sad': np.float32(0.32272634), 'surprise': np.float32(0.6294035), 'neutral': np.float32(97.81611)}"
18:18:41,neutral,"{'angry': np.float32(0.42054287), 'disgust': np.float32(9.4489835e-08), 'fear': np.float32(1.8534319), 'happy': np.float32(0.0017986053), 'sad': np.float32(0.16483103), 'surprise': np.float32(8.951659), 'neutral': np.float32(88.60774)}"
18:18:42,neutral,"{'angry': np.float32(0.04824431), 'disgust': np.float32(2.4161395e-10), 'fear': np.float32(0.15136582), 'happy': np.float32(5.7773123e-05), 'sad': np.float32(0.09746548), 'surprise': np.float32(0.191513), 'neutral': np.float32(99.51135)}"
18:18:42,neutral,"{'angry': np.float32(0.21270259), 'disgust': np.float32(3.5079022e-08), 'fear': np.float32(3.5848467), 'happy': np.float32(0.0009994115), 'sad': np.float32(0.3589201), 'surprise': np.float32(2.0928133), 'neutral': np.float32(93.74972)}"
18:18:42,neutral,"{'angry': np.float32(0.02383839), 'disgust': np.float32(1.3697722e-10), 'fear': np.float32(0.041621935), 'happy': np.float32(3.822408e-05), 'sad': np.float32(0.0762756), 'surprise': np.float32(0.004708162), 'neutral': np.float32(99.853516)}"
18:18:42,neutral,"{'angry': np.float32(0.050755188), 'disgust': np.float32(2.0163269e-11), 'fear': np.float32(0.13970083), 'happy': np.float32(3.5934581e-06), 'sad': np.float32(0.11895068), 'surprise': np.float32(0.0023647877), 'neutral': np.float32(99.68822)}"
18:18:42,neutral,"{'angry': np.float32(0.11172418), 'disgust': np.float32(3.0088737e-10), 'fear': np.float32(0.2670293), 'happy': np.float32(3.4800007e-05), 'sad': np.float32(0.13860512), 'surprise': np.float32(0.029665517), 'neutral': np.float32(99.45294)}"
18:18:42,neutral,"{'angry': np.float32(0.06490966), 'disgust': np.float32(6.75724e-10), 'fear': np.float32(0.10471541), 'happy': np.float32(0.00013224341), 'sad': np.float32(0.1409049), 'surprise': np.float32(0.010883317), 'neutral': np.float32(99.67846)}"
18:18:42,neutral,"{'angry': np.float32(0.06490966), 'disgust': np.float32(6.75724e-10), 'fear': np.float32(0.10471541), 'happy': np.float32(0.00013224341), 'sad': np.float32(0.1409049), 'surprise': np.float32(0.010883317), 'neutral': np.float32(99.67846)}"
18:18:43,neutral,"{'angry': np.float32(0.024654562), 'disgust': np.float32(5.675912e-12), 'fear': np.float32(0.009784458), 'happy': np.float32(3.84882e-06), 'sad': np.float32(0.0788213), 'surprise': np.float32(0.00017376039), 'neutral': np.float32(99.88656)}"
18:18:43,neutral,"{'angry': np.float32(0.024654562), 'disgust': np.float32(5.675912e-12), 'fear': np.float32(0.009784458), 'happy': np.float32(3.84882e-06), 'sad': np.float32(0.0788213), 'surprise': np.float32(0.00017376039), 'neutral': np.float32(99.88656)}"
18:18:43,neutral,"{'angry': np.float32(0.4040959), 'disgust': np.float32(7.115536e-08), 'fear': np.float32(0.43473676), 'happy': np.float32(0.00017943773), 'sad': np.float32(2.2287776), 'surprise': np.float32(0.00078990345), 'neutral': np.float32(96.93142)}"
