Time,Attention (%)
21:41:46,100.0
21:41:48,100.0
21:41:50,100.0
21:41:52,100.0
21:41:54,100.0
21:41:56,100.0
21:41:58,100.0
21:42:00,100.0
21:42:02,100.0
21:42:04,100.0
21:42:06,98.79
21:42:08,98.89
21:42:10,98.97
21:42:12,99.05
21:42:14,99.11
21:42:16,99.17
21:42:18,98.53
21:42:20,98.61
21:42:22,98.68
21:42:24,98.75
21:42:26,94.05
21:42:28,89.77
21:42:30,89.78
21:42:32,90.21
21:42:34,90.6
21:42:38,90.96
21:42:40,91.3
21:42:42,91.61
21:42:44,91.9
21:42:46,91.56
21:42:48,88.6
21:42:50,85.83
21:42:52,83.23
21:42:54,80.78
21:42:56,78.48
21:42:58,76.3
21:43:00,74.23
21:43:02,72.28
21:43:04,70.43
21:43:06,71.08
21:43:08,71.79
21:43:10,72.46
